Date,Annee,MoisNum,MoisNom,AnneeMois,Trimestre,Jour,JourSemaineNum,JourSemaineNom,EstWeekend
2025-07-01,2025,7,Juillet,2025-07,T3,1,2,Mardi,0
2025-07-02,2025,7,Juillet,2025-07,T3,2,3,Mercredi,0
2025-07-03,2025,7,Juillet,2025-07,T3,3,4,Jeudi,0
2025-07-04,2025,7,Juillet,2025-07,T3,4,5,Vendredi,0
2025-07-05,2025,7,Juillet,2025-07,T3,5,6,Samedi,1
2025-07-06,2025,7,Juillet,2025-07,T3,6,7,Dimanche,1
2025-07-07,2025,7,Juillet,2025-07,T3,7,1,Lundi,0
2025-07-08,2025,7,Juillet,2025-07,T3,8,2,Mardi,0
2025-07-09,2025,7,Juillet,2025-07,T3,9,3,Mercredi,0
2025-07-10,2025,7,Juillet,2025-07,T3,10,4,Jeudi,0
2025-07-11,2025,7,Juillet,2025-07,T3,11,5,Vendredi,0
2025-07-12,2025,7,Juillet,2025-07,T3,12,6,Samedi,1
2025-07-13,2025,7,Juillet,2025-07,T3,13,7,Dimanche,1
2025-07-14,2025,7,Juillet,2025-07,T3,14,1,Lundi,0
2025-07-15,2025,7,Juillet,2025-07,T3,15,2,Mardi,0
2025-07-16,2025,7,Juillet,2025-07,T3,16,3,Mercredi,0
2025-07-17,2025,7,Juillet,2025-07,T3,17,4,Jeudi,0
2025-07-18,2025,7,Juillet,2025-07,T3,18,5,Vendredi,0
2025-07-19,2025,7,Juillet,2025-07,T3,19,6,Samedi,1
2025-07-20,2025,7,Juillet,2025-07,T3,20,7,Dimanche,1
2025-07-21,2025,7,Juillet,2025-07,T3,21,1,Lundi,0
2025-07-22,2025,7,Juillet,2025-07,T3,22,2,Mardi,0
2025-07-23,2025,7,Juillet,2025-07,T3,23,3,Mercredi,0
2025-07-24,2025,7,Juillet,2025-07,T3,24,4,Jeudi,0
2025-07-25,2025,7,Juillet,2025-07,T3,25,5,Vendredi,0
2025-07-26,2025,7,Juillet,2025-07,T3,26,6,Samedi,1
2025-07-27,2025,7,Juillet,2025-07,T3,27,7,Dimanche,1
2025-07-28,2025,7,Juillet,2025-07,T3,28,1,Lundi,0
2025-07-29,2025,7,Juillet,2025-07,T3,29,2,Mardi,0
2025-07-30,2025,7,Juillet,2025-07,T3,30,3,Mercredi,0
