AnneeMois,MainOeuvre,Loyer,Energie,Marketing,Autres,Gaspillage
2025-07,30542.2,4200.0,1314.99,2811.76,1671.45,1518.95
2025-08,31491.82,4200.0,1404.44,1846.89,1616.19,1230.39
2025-09,27323.33,4200.0,1605.14,2280.47,2096.96,1511.02
2025-10,27260.48,4200.0,1669.78,1854.65,1838.08,1880.19
2025-11,28369.29,4200.0,1619.87,2263.89,1637.82,1107.05
2025-12,35273.85,4200.0,1365.49,3062.92,1971.92,1669.68
2026-01,24054.44,4200.0,1619.92,1453.91,2008.76,1294.63
2026-02,24460.65,4200.0,1736.82,1987.94,1672.54,1008.64
2026-03,30002.97,4200.0,1309.51,2497.91,2124.87,1156.91
2026-04,27542.75,4200.0,1661.36,1894.53,1776.41,1889.15
2026-05,35507.46,4200.0,1567.87,2039.67,2000.98,2479.91
2026-06,33713.69,4200.0,1491.06,2050.35,1995.7,1965.65
