OrderID,Date,Service,Canal,MenuItemID,Quantite,PrixUnitaire,MontantLigne,CoutMatiereLigne
1,2025-07-01,Midi,Sur place,31,1,9.5,9.5,2.19
1,2025-07-01,Midi,Sur place,37,1,4.0,4.0,0.48
1,2025-07-01,Midi,Sur place,5,1,15.0,15.0,5.7
1,2025-07-01,Midi,Sur place,20,1,18.0,18.0,5.4
2,2025-07-01,Midi,A emporter,12,1,21.0,21.0,5.88
2,2025-07-01,Midi,A emporter,26,2,9.0,18.0,4.68
2,2025-07-01,Midi,A emporter,35,1,6.0,6.0,1.08
3,2025-07-01,Midi,Sur place,16,1,18.0,18.0,4.5
3,2025-07-01,Midi,Sur place,6,1,10.5,10.5,3.25
3,2025-07-01,Midi,Sur place,6,3,10.5,31.5,9.75
3,2025-07-01,Midi,Sur place,36,1,11.0,11.0,2.42
3,2025-07-01,Midi,Sur place,27,1,8.5,8.5,2.12
3,2025-07-01,Midi,Sur place,35,2,6.0,12.0,2.16
4,2025-07-01,Soir,Livraison,32,1,6.0,6.0,1.68
4,2025-07-01,Soir,Livraison,3,1,13.5,13.5,4.46
4,2025-07-01,Soir,Livraison,12,1,21.0,21.0,5.88
5,2025-07-01,Midi,Sur place,18,1,22.5,22.5,7.87
5,2025-07-01,Midi,Sur place,18,2,22.5,45.0,15.74
5,2025-07-01,Midi,Sur place,11,1,26.0,26.0,10.4
6,2025-07-01,Soir,Sur place,9,1,18.5,18.5,6.29
6,2025-07-01,Soir,Sur place,19,1,16.0,16.0,4.32
6,2025-07-01,Soir,Sur place,40,2,5.5,11.0,3.3
6,2025-07-01,Soir,Sur place,29,1,8.5,8.5,2.29
7,2025-07-01,Midi,Sur place,13,2,17.5,35.0,9.1
7,2025-07-01,Midi,Sur place,11,2,26.0,52.0,20.8
8,2025-07-01,Midi,A emporter,38,1,4.5,4.5,0.67
8,2025-07-01,Midi,A emporter,21,1,5.5,5.5,1.21
8,2025-07-01,Midi,A emporter,13,1,17.5,17.5,4.55
9,2025-07-01,Soir,Livraison,11,1,26.0,26.0,10.4
9,2025-07-01,Soir,Livraison,40,1,5.5,5.5,1.65
9,2025-07-01,Soir,Livraison,24,1,4.5,4.5,0.9
10,2025-07-01,Soir,A emporter,4,1,9.5,9.5,2.66
10,2025-07-01,Soir,A emporter,19,3,16.0,48.0,12.96
10,2025-07-01,Soir,A emporter,40,2,5.5,11.0,3.3
11,2025-07-01,Midi,A emporter,25,1,8.5,8.5,1.87
11,2025-07-01,Midi,A emporter,13,1,17.5,17.5,4.55
11,2025-07-01,Midi,A emporter,29,2,8.5,17.0,4.58
11,2025-07-01,Midi,A emporter,7,2,16.5,33.0,13.2
12,2025-07-01,Midi,Sur place,38,1,4.5,4.5,0.67
12,2025-07-01,Midi,Sur place,37,1,4.0,4.0,0.48
13,2025-07-01,Soir,Sur place,25,1,8.5,8.5,1.87
13,2025-07-01,Soir,Sur place,34,1,6.5,6.5,1.3
13,2025-07-01,Soir,Sur place,25,2,8.5,17.0,3.74
13,2025-07-01,Soir,Sur place,1,2,7.5,15.0,3.6
14,2025-07-01,Soir,Sur place,37,2,4.0,8.0,0.96
15,2025-07-01,Midi,Sur place,34,1,6.5,6.5,1.3
16,2025-07-01,Midi,Sur place,13,1,17.5,17.5,4.55
16,2025-07-01,Midi,Sur place,37,1,4.0,4.0,0.48
16,2025-07-01,Midi,Sur place,20,1,18.0,18.0,5.4
17,2025-07-01,Midi,Sur place,29,1,8.5,8.5,2.29
17,2025-07-01,Midi,Sur place,21,1,5.5,5.5,1.21
17,2025-07-01,Midi,Sur place,25,1,8.5,8.5,1.87
17,2025-07-01,Midi,Sur place,8,1,21.0,21.0,9.45
17,2025-07-01,Midi,Sur place,12,1,21.0,21.0,5.88
17,2025-07-01,Midi,Sur place,16,1,18.0,18.0,4.5
18,2025-07-01,Soir,Livraison,12,1,21.0,21.0,5.88
19,2025-07-01,Midi,Sur place,26,1,9.0,9.0,2.34
19,2025-07-01,Midi,Sur place,22,1,6.0,6.0,1.68
19,2025-07-01,Midi,Sur place,34,1,6.5,6.5,1.3
19,2025-07-01,Midi,Sur place,35,1,6.0,6.0,1.08
19,2025-07-01,Midi,Sur place,10,1,29.0,29.0,12.18
20,2025-07-01,Soir,Livraison,20,1,18.0,18.0,5.4
